Episode: 460, Reward: -13.0 | Mean reward: -15.33
Episode: 461, Reward: -15.0 | Mean reward: -15.3
Episode: 462, Reward: -21.0 | Mean reward: -15.38
Episode: 463, Reward: -13.0 | Mean reward: -15.33
Episode: 464, Reward: -17.0 | Mean reward: -15.35
Episode: 465, Reward: -13.0 | Mean reward: -15.33
Episode: 466, Reward: -14.0 | Mean reward: -15.28
Episode: 467, Reward: -18.0 | Mean reward: -15.3
Episode: 468, Reward: -17.0 | Mean reward: -15.33
Episode: 469, Reward: -15.0 | Mean reward: -15.34
Episode: 470, Reward: -16.0 | Mean reward: -15.31
Episode: 471, Reward: -14.0 | Mean reward: -15.28
Episode: 472, Reward: -16.0 | Mean reward: -15.29
Episode: 473, Reward: -15.0 | Mean reward: -15.29
Episode: 474, Reward: -15.0 | Mean reward: -15.25
Episode: 475, Reward: -17.0 | Mean reward: -15.28
Episode: 476, Reward: -14.0 | Mean reward: -15.26
Episode: 477, Reward: -17.0 | Mean reward: -15.32
Episode: 478, Reward: -19.0 | Mean reward: -15.35
Episode: 479, Reward: -16.0 | Mean reward: -15.35
Episode: 480, Reward: -15.0 | Mean reward: -15.35
Episode: 481, Reward: -16.0 | Mean reward: -15.34
Episode: 482, Reward: -17.0 | Mean reward: -15.35
Episode: 483, Reward: -13.0 | Mean reward: -15.31
Episode: 484, Reward: -14.0 | Mean reward: -15.32
Episode: 485, Reward: -16.0 | Mean reward: -15.3
Episode: 486, Reward: -14.0 | Mean reward: -15.25
Episode: 487, Reward: -15.0 | Mean reward: -15.24
Episode: 488, Reward: -16.0 | Mean reward: -15.24
